"","x"
"gene1287",3
"gene1288",3
"gene1289",3
"gene1290",3
"gene1291",3
"gene1292",3
"gene1293",3
"gene1294",3
"gene1295",3
"gene1296",3
"gene1297",3
"gene1298",3
"gene1299",3
"gene1300",3
"gene1301",3
"gene1302",3
"gene1303",3
"gene1304",3
"gene1305",3
"gene1306",3
"gene1307",3
"gene1308",3
"gene1309",3
"gene1310",3
"gene1311",3
"gene1312",3
"gene1313",3
"gene1314",3
"gene1315",3
"gene1316",3
"gene1317",3
"gene1318",3
"gene1319",3
"gene1320",3
"gene1321",3
"gene1322",3
"gene1323",3
"gene1324",3
"gene1325",3
"gene1326",3
"gene1327",3
"gene1328",3
"gene1329",3
"gene1330",3
"gene1331",3
"gene1332",3
"gene1333",3
"gene1334",3
"gene1335",3
"gene1336",3
"gene1337",3
"gene1338",3
"gene1339",3
"gene1340",3
"gene1341",3
"gene1342",3
"gene1343",3
"gene1344",3
"gene1345",3
"gene1346",3
"gene1347",3
"gene1348",3
"gene1349",3
"gene1350",3
"gene1351",3
"gene1352",3
"gene1353",3
"gene1354",3
"gene1355",3
"gene1356",3
"gene1357",3
"gene1358",3
"gene1359",3
"gene1360",3
"gene1361",3
"gene1362",3
"gene1363",3
"gene1364",3
"gene1365",3
"gene1366",3
"gene1367",3
"gene1368",3
"gene1369",3
"gene1370",3
"gene1371",3
"gene1372",3
"gene1373",3
"gene1374",3
"gene1375",3
"gene1376",3
"gene1377",3
"gene1378",3
"gene1379",3
"gene1380",3
"gene1381",3
"gene1382",3
"gene1383",3
"gene1384",3
"gene1385",3
"gene1386",3
"gene1387",3
"gene1388",3
"gene1389",3
"gene1390",3
"gene1391",3
"gene1392",3
"gene1393",3
"gene1394",3
"gene1395",3
"gene1396",3
"gene1397",3
"gene1398",3
"gene1399",3
"gene1400",3
"gene1401",3
"gene1402",3
"gene1403",3
"gene1404",3
"gene1405",3
"gene1406",3
"gene1407",3
"gene1408",3
"gene1409",3
"gene1410",3
"gene1411",3
"gene1412",3
"gene1413",3
"gene1414",3
"gene1415",3
"gene1416",3
"gene1417",3
"gene1418",3
"gene1419",3
"gene1420",3
"gene1421",3
"gene1422",3
"gene1423",3
"gene1424",3
"gene1425",3
"gene1426",3
"gene1427",3
"gene1428",3
"gene1429",3
"gene1430",3
"gene1431",3
"gene1432",3
"gene1433",3
"gene1434",3
"gene1435",3
"gene1436",3
"gene1437",3
"gene1438",3
"gene1439",3
"gene1440",3
"gene1441",3
"gene1442",3
"gene1443",3
"gene1444",3
"gene1445",3
"gene1446",3
"gene1447",3
"gene1448",3
"gene1449",3
"gene1450",3
"gene1451",3
"gene1452",3
"gene1453",3
"gene1454",3
"gene1455",3
"gene1456",3
"gene1457",3
"gene1458",3
"gene1459",3
"gene1460",3
"gene1461",3
"gene1462",3
"gene1463",3
"gene1464",3
"gene1465",3
"gene1466",3
"gene1467",3
"gene1468",3
"gene1469",3
"gene1470",3
"gene1471",3
"gene1472",3
"gene1473",3
"gene1474",3
"gene1475",3
"gene1476",3
"gene1477",3
"gene1478",3
"gene1479",3
"gene1480",3
"gene1481",3
"gene1482",3
"gene1483",3
"gene1484",3
"gene1485",3
"gene1486",3
"gene1487",3
"gene1488",3
"gene1489",3
"gene1490",3
"gene1491",3
"gene1492",3
"gene1493",3
"gene1494",3
"gene1495",3
"gene1496",3
"gene1497",3
"gene1498",3
"gene1499",3
"gene1500",3
"gene1501",3
"gene1502",3
"gene1503",3
"gene1504",3
"gene1505",3
"gene1506",3
"gene1507",3
"gene1508",3
"gene1509",3
"gene1510",3
"gene1511",3
"gene1512",3
"gene1513",3
"gene1514",3
"gene1515",3
"gene1516",3
"gene1517",3
"gene1518",3
"gene1519",3
"gene1520",3
"gene1521",3
"gene1522",3
"gene1523",3
"gene1524",3
"gene1525",3
"gene1526",3
"gene1527",3
"gene1528",3
"gene1529",3
"gene1530",3
"gene1531",3
"gene1532",3
"gene1533",3
"gene1534",3
"gene1535",3
"gene1536",3
"gene1537",3
"gene1538",3
"gene1539",3
"gene1540",3
"gene1541",3
"gene1542",3
"gene1543",3
"gene1544",3
"gene1545",3
"gene1546",3
"gene1547",3
"gene1548",3
"gene1549",3
"gene1550",3
"gene1551",3
"gene1552",3
"gene1553",3
"gene1554",3
"gene1555",3
"gene1556",3
"gene1557",3
"gene1558",3
"gene1559",3
"gene1560",3
"gene1561",3
"gene1562",3
"gene1563",3
"gene1564",3
"gene1565",3
"gene1566",3
"gene1567",3
"gene1568",3
"gene1569",3
"gene1570",3
"gene1571",3
"gene1572",3
"gene1573",3
"gene1574",3
"gene1575",3
"gene1576",3
"gene1577",3
"gene1578",3
"gene1579",3
"gene1580",3
"gene1581",3
"gene1582",3
"gene1583",3
"gene1584",3
"gene1585",3
"gene1586",3
"gene1587",3
"gene1588",3
"gene1589",3
"gene1590",3
"gene1591",3
"gene1592",3
"gene1593",3
"gene1594",3
"gene1595",3
"gene1596",3
"gene1597",3
"gene1598",3
"gene1599",3
"gene1600",3
"gene1601",3
"gene1602",3
"gene1603",3
"gene1604",3
"gene1605",3
"gene1606",3
"gene1607",3
"gene1608",3
"gene1609",3
"gene1610",3
"gene1611",3
"gene1612",3
"gene1613",3
"gene1614",3
"gene1615",3
"gene1616",3
"gene1617",3
"gene1618",3
"gene1619",3
"gene1620",3
"gene1621",3
"gene1622",3
"gene1623",3
"gene1624",3
"gene1625",3
"gene1626",3
"gene1627",3
"gene1628",3
"gene1629",3
"gene1630",3
"gene1631",3
"gene1632",3
"gene1633",3
"gene1634",3
"gene1635",3
"gene1636",3
"gene1637",3
"gene1638",3
"gene1639",3
"gene1640",3
"gene1641",3
"gene1642",3
"gene1643",3
"gene1644",3
"gene1645",3
"gene1646",3
"gene1647",3
"gene1648",3
"gene1649",3
"gene1650",3
"gene1651",3
"gene1652",3
"gene1653",3
"gene1654",3
"gene1655",3
"gene1656",3
"gene1657",3
"gene1658",3
"gene1659",3
"gene1660",3
"gene1661",3
"gene1662",3
"gene1663",3
"gene1664",3
"gene1665",3
"gene1666",3
"gene1667",3
"gene1668",3
"gene1669",3
"gene1670",3
"gene1671",3
"gene1672",3
"gene1673",3
"gene1674",3
"gene1675",3
"gene1676",3
"gene1677",3
"gene1678",3
"gene1679",3
"gene1680",3
"gene1681",3
"gene1682",3
